2.5,0,"[0.0006, 0.03472, 0.03388, 0.00116, 0.01309, 0.0048, 0.00166, 0.02828, 0.01153, 0.08799, 0.00987, 0.01162]","[0.22479]","[11]",12,1
2.5,1,"[0.0198, 0.02483, 0.02082, 0.0277, 0.02433, 0.05966, 0.02691]","[]","[]",7,0
2.5,2,"[0.01767, 0.06043, 0.01186, 0.01644, 0.04703, 0.07931]","[]","[]",6,0
2.5,3,"[0.00459, 0.04876, 0.004, 0.05605, 0.00246, 0.00824, 0.04415, 0.0197, 0.03631, 0.01756, 0.01162]","[0.21711, 0.22763]","[7, 3]",11,2
2.5,4,"[0.0545, 0.03871, 0.05347, 0.02046, 0.01013, 0.01231]","[]","[]",6,0
2.5,5,"[0.00237, 0.00845, 0.00183, 0.0242, 0.01191, 0.03897, 0.02437, 0.06422, 0.06569, 0.07402]","[]","[]",10,0
2.5,6,"[0.00717, 0.08622, 0.00313, 0.03167, 0.00387, 0.09134, 0.05481, 0.0197, 0.03631, 0.01756, 0.01162]","[0.21391, 0.22763]","[7, 3]",11,2
2.5,7,"[0.00618, 0.00468, 0.00097, 0.07045, 0.024, 0.07526, 0.01019, 0.07713, 0.02681, 0.00249, 0.07177, 0.00261, 0.00289, 0.01358, 0.00078, 0.01265, 0.00181]","[0.28486]","[13]",17,1
2.5,8,"[0.00229, 0.00052, 0.00119, 0.07959, 0.00823, 0.08254, 0.04817, 0.00203, 0.0808]","[]","[]",9,0
2.5,9,"[0.00144, 0.00505, 0.02463, 0.08124, 0.00245, 0.06531, 0.07966, 0.0273, 0.06401, 0.00524, 0.04671, 0.02045, 0.02666]","[]","[]",13,0
2.5,10,"[0.00755, 0.01708, 0.03401, 0.02502]","[]","[]",4,0
2.5,11,"[0.00103, 0.02691, 0.01947, 0.00476, 0.07478, 0.08187, 0.02056, 0.05803, 0.0004, 0.00723, 0.09333, 0.00105, 0.03444, 0.06942, 0.00727]","[0.27452, 0.26953]","[8, 3]",15,2
