2.5,0,"[0.00549]","[0.02604, 0.05591]","[0, 1]",1,2
2.5,17,"[0.00629, 0.00214, 0.00833, 0.00696, 0.00157, 0.00085, 0.00095, 0.00212, 0.00924, 0.00482, 0.00195, 0.00256, 0.00166, 0.00452, 0.00927, 0.00189, 0.00224]","[0.03091, 0.03766, 0.05749, 0.07547, 0.06977, 0.02071, 0.03438, 0.04421, 0.14237, 0.06368, 0.03484, 0.02558, 0.02614, 0.15631, 0.06824, 0.09985, 0.04636, 0.03856, 0.02061]","[0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 3, 3, 5, 0, 0, 0, 0, 0]",17,19
2.5,18,"[0.00057, 0.00051, 0.00443, 0.00287, 0.00279, 0.00085, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.13222, 0.02365, 0.06859, 0.03727, 0.02175, 0.03617, 0.09156, 0.02071, 0.06542, 0.07918, 0.04421, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[1, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 2, 1, 1, 2, 5, 0, 2]",19,18
2.5,19,"[0.00041, 0.00471, 0.00049, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475, 0.00053, 0.0035, 0.00563, 0.00492, 0.00444]","[0.0575, 0.06359, 0.06216, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144, 0.02998, 0.02171, 0.02103]","[1, 1, 1, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0, 2, 3, 2]",27,25
2.5,20,"[0.00068, 0.00095, 0.00212, 0.00924, 0.00482, 0.00195, 0.00085, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.02361, 0.06368, 0.03484, 0.02558, 0.15074, 0.02071, 0.06542, 0.07918, 0.04421, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[1, 0, 0, 3, 2, 0, 0, 1, 0, 2, 1, 1, 2, 5, 0, 2]",20,16
2.5,21,"[0.00695, 0.00673, 0.00507]","[0.03731, 0.03819, 0.02263, 0.03147, 0.05519, 0.02615, 0.09942, 0.0605]","[0, 0, 0, 0, 0, 0, 0, 1]",3,8
2.5,22,"[0.0085, 0.00099, 0.00117, 0.00464, 0.00255, 0.00422, 0.00067, 0.00582, 0.00306, 0.00244, 0.00178, 0.00181, 0.0019, 0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.02567, 0.04767, 0.07236, 0.02092, 0.04912, 0.0363, 0.04913, 0.04701, 0.0463, 0.02254, 0.04691, 0.10565, 0.05771, 0.02265, 0.06211, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[0, 0, 2, 0, 0, 1, 0, 1, 2, 1, 0, 6, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",24,29
2.5,23,"[0.00817, 0.00186, 0.00199, 0.00411, 0.00319, 0.00491, 0.00171, 0.00189, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.03036, 0.13996, 0.0471, 0.03128, 0.02309, 0.03188, 0.04033, 0.13066, 0.0605, 0.05431, 0.02919, 0.06678, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749, 0.07547]","[0, 0, 0, 0, 1, 3, 4, 0, 1, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 3]",23,21
2.5,24,"[0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 5e-05, 0.00636, 0.0006, 0.00072]","[0.02334, 0.06792, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.20324, 0.06835, 0.03231, 0.04943, 0.02265, 0.02434, 0.06976, 0.06862, 0.05355, 0.04636, 0.0216, 0.02621]","[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1]",10,20
2.5,25,"[0.00272, 0.00029, 0.00369, 0.00087, 0.00302, 0.00076, 0.00814, 0.00115, 0.00192, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475]","[0.03375, 0.06189, 0.06948, 0.02146, 0.03481, 0.04946, 0.02214, 0.02257, 0.0752, 0.0392, 0.10748, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144]","[0, 1, 0, 0, 0, 2, 1, 1, 0, 1, 3, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0]",28,30
2.5,26,"[0.0038]","[0.03851, 0.02825, 0.03698]","[0, 0, 1]",1,3
