2.5,0,"[0.00549]","[0.02604, 0.05591]","[0, 1]",1,2
2.5,53,"[0.00117, 0.0091, 0.0079, 0.00262, 0.00686, 0.00047, 0.00077, 0.00164, 0.00388]","[0.03905, 0.03554, 0.02092, 0.06038, 0.0394, 0.02867, 0.07804, 0.02728, 0.04804, 0.04786, 0.04066, 0.05423, 0.02076, 0.02749, 0.13881, 0.04636, 0.03856, 0.02061]","[0, 1, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",9,18
2.5,54,"[0.00202, 0.00443, 0.00704, 0.00051, 0.0046, 0.00115, 0.00064, 0.00837, 0.00844, 0.00129, 0.00053, 0.00172, 0.00839, 0.00085, 0.00441, 0.00085, 0.00221, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.02532, 0.07214, 0.03727, 0.09212, 0.02365, 0.02523, 0.03225, 0.02948, 0.02526, 0.04797, 0.04562, 0.1194, 0.07918, 0.06977, 0.02071, 0.03438, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[0, 1, 1, 1, 1, 0, 1, 0, 4, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 2, 5, 0, 2]",30,23
2.5,55,"[0.00051, 0.00443, 0.00287, 0.00279, 0.00085, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.10427, 0.02365, 0.06859, 0.03727, 0.02175, 0.03617, 0.09156, 0.02071, 0.06542, 0.07918, 0.04421, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 2, 1, 1, 2, 5, 0, 2]",18,18
2.5,56,"[0.00817, 0.00186, 0.00199, 0.00411, 0.00319, 0.00491, 0.00171, 0.00189, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.02708, 0.09368, 0.0471, 0.03128, 0.02309, 0.03188, 0.04033, 0.10146, 0.1139, 0.0605, 0.05431, 0.02919, 0.06678, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749, 0.07547]","[0, 0, 0, 0, 1, 3, 4, 0, 0, 1, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 3]",23,22
2.5,57,"[0.00087, 0.00302, 0.00076, 0.00814, 0.00115, 0.00192, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475]","[0.03073, 0.02146, 0.03527, 0.02214, 0.02257, 0.0752, 0.0392, 0.10748, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144]","[0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0]",25,27
2.5,58,"[0.00837, 0.00457]","[0.0412, 0.04358, 0.02327, 0.03366]","[1, 1, 0, 0]",2,4
2.5,59,"[0.00556, 0.00154, 0.0048, 0.0091, 0.0079, 0.00262, 0.00686, 0.00047, 0.00077, 0.00164, 0.00388]","[0.04223, 0.03701, 0.07998, 0.0394, 0.02867, 0.07804, 0.02728, 0.04804, 0.04786, 0.04066, 0.05423, 0.02076, 0.02749, 0.13881, 0.04636, 0.03856, 0.02061]","[0, 1, 2, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",11,17
2.5,60,"[0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.03466, 0.0605, 0.05431, 0.02919, 0.06678, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749, 0.07547]","[0, 1, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 3]",15,14
2.5,61,"[0.00102, 0.00177, 0.00556, 0.00154, 0.0048, 0.0091, 0.0079, 0.00262, 0.00686, 0.00047, 0.00077, 0.00164, 0.00388]","[0.07701, 0.03701, 0.07998, 0.0394, 0.02867, 0.07804, 0.02728, 0.04804, 0.04786, 0.04066, 0.05423, 0.02076, 0.02749, 0.13881, 0.04636, 0.03856, 0.02061]","[2, 1, 2, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",13,17
2.5,62,"[0.00085, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.03226, 0.02071, 0.06542, 0.07918, 0.04421, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[0, 0, 0, 1, 0, 2, 1, 1, 2, 5, 0, 2]",14,12
2.5,63,"[0.00077, 0.00686, 0.00047, 0.0062, 0.00145]","[0.06071, 0.04066, 0.0381, 0.02076, 0.05777, 0.04804, 0.02728, 0.03084]","[0, 0, 0, 0, 0, 0, 1, 4]",5,8
2.5,64,"[0.00817, 0.00186, 0.00199, 0.00411, 0.00319, 0.00491, 0.00171, 0.00189, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.09021, 0.0471, 0.03128, 0.02309, 0.03188, 0.04033, 0.10146, 0.1139, 0.0605, 0.05431, 0.02919, 0.06678, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749, 0.07547]","[0, 0, 0, 1, 3, 4, 0, 0, 1, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 3]",23,21
2.5,65,"[0.0025, 0.00221]","[0.044, 0.03766, 0.04966, 0.02022, 0.03305]","[1, 0, 0, 1, 0]",2,5
2.5,66,"[0.00817, 0.00186, 0.00199, 0.00411, 0.00319, 0.00491, 0.00171, 0.00189, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.09191, 0.0471, 0.03128, 0.02309, 0.03188, 0.04033, 0.10146, 0.1139, 0.0605, 0.05431, 0.02919, 0.06678, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749, 0.07547]","[0, 0, 0, 1, 3, 4, 0, 0, 1, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 3]",23,21
2.5,67,"[0.00243, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157, 0.00085, 0.00095, 0.00212, 0.00924, 0.00482, 0.00195, 0.00256, 0.00166, 0.00452, 0.00927, 0.00189, 0.00224]","[0.06372, 0.03766, 0.05749, 0.07547, 0.06977, 0.02071, 0.03438, 0.04421, 0.14237, 0.06368, 0.03484, 0.02558, 0.02614, 0.15631, 0.06824, 0.09985, 0.04636, 0.03856, 0.02061]","[1, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 3, 3, 5, 0, 0, 0, 0, 0]",18,19
2.5,68,"[0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.09919, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",11,15
2.5,69,"[]","[0.05215, 0.04636, 0.03856, 0.02061]","[0, 0, 0, 0]",0,4
2.5,70,"[0.00085, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.0514, 0.06368, 0.12605, 0.02071, 0.06542, 0.07918, 0.04421, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 2, 5, 0, 2]",14,14
2.5,71,"[0.00991, 0.00255, 0.00422, 0.00067, 0.00464, 0.00117, 0.0091, 0.0079, 0.00262, 0.00686, 0.00047, 0.00077, 0.00164, 0.00388]","[0.05693, 0.0463, 0.02254, 0.04255, 0.05776, 0.03554, 0.02092, 0.06038, 0.0394, 0.02867, 0.07804, 0.02728, 0.04804, 0.04786, 0.04066, 0.05423, 0.02076, 0.02749, 0.13881, 0.04636, 0.03856, 0.02061]","[1, 2, 1, 0, 1, 1, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",14,22
2.5,72,"[0.00232, 0.00068, 0.00139, 0.00312, 0.00271, 0.00768, 0.00122, 0.00142, 0.00723, 0.00488, 0.00451, 0.00826, 0.00194, 0.00118]","[0.03164, 0.02668, 0.08704, 0.0247, 0.09217, 0.03475, 0.07459, 0.02203, 0.02262, 0.03703, 0.03823, 0.02791]","[1, 2, 1, 2, 1, 0, 1, 0, 0, 0, 3, 3]",14,12
2.5,73,"[0.00817, 0.00186, 0.00199, 0.00411, 0.00319, 0.00491, 0.00171, 0.00189, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.05494, 0.0471, 0.03128, 0.02309, 0.03188, 0.04033, 0.10146, 0.1139, 0.0605, 0.05431, 0.02919, 0.06678, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749, 0.07547]","[0, 0, 0, 1, 3, 4, 0, 0, 1, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 3]",23,21
2.5,74,"[0.00798, 0.00089, 0.0038]","[0.02454, 0.05459, 0.07483, 0.02825, 0.03698]","[0, 0, 2, 0, 1]",3,5
2.5,75,"[0.0044, 0.00278, 0.0002, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157, 0.00085, 0.00095, 0.00212, 0.00924, 0.00482, 0.00195, 0.00256, 0.00166, 0.00452, 0.00927, 0.00189, 0.00224]","[0.05671, 0.05187, 0.14253, 0.03766, 0.05749, 0.07547, 0.06977, 0.02071, 0.03438, 0.04421, 0.14237, 0.06368, 0.03484, 0.02558, 0.02614, 0.15631, 0.06824, 0.09985, 0.04636, 0.03856, 0.02061]","[1, 2, 0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 3, 3, 5, 0, 0, 0, 0, 0]",20,21
2.5,76,"[0.00117, 0.00464, 0.00255, 0.00422, 0.00067, 0.00582, 0.00306, 0.00244, 0.00178, 0.00181, 0.0019, 0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.04167, 0.02092, 0.04912, 0.0363, 0.04913, 0.04701, 0.0463, 0.02254, 0.04691, 0.10565, 0.05771, 0.02265, 0.06211, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[0, 0, 0, 1, 0, 1, 2, 1, 0, 6, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",22,27
2.5,77,"[0.00083, 0.00117, 0.00464, 0.00255, 0.00422, 0.00067, 0.00582, 0.00306, 0.00244, 0.00178, 0.00181, 0.0019, 0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.04745, 0.02092, 0.04912, 0.0363, 0.04913, 0.04701, 0.0463, 0.02254, 0.04691, 0.10565, 0.05771, 0.02265, 0.06211, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[1, 0, 0, 1, 0, 1, 2, 1, 0, 6, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",23,27
2.5,78,"[0.00662, 0.00659, 0.00356, 0.00695]","[0.03009, 0.04054, 0.04647, 0.06241, 0.02919, 0.05431, 0.0605, 0.07497, 0.03819, 0.02263, 0.03147, 0.05519, 0.02615, 0.05299]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",4,14
2.5,79,"[0.00486, 0.00749, 0.00271, 0.00768, 0.00122, 0.00142, 0.00723, 0.00488, 0.00451, 0.00826, 0.00194, 0.00118]","[0.06375, 0.0211, 0.02115, 0.03675, 0.09199, 0.0247, 0.09217, 0.03475, 0.07459, 0.02203, 0.02262, 0.03703, 0.03823, 0.02791]","[0, 0, 0, 1, 1, 2, 1, 0, 1, 0, 0, 0, 3, 3]",12,14
2.5,80,"[0.005, 0.00471, 0.00049, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475, 0.00053, 0.0035, 0.00563, 0.00492, 0.00444]","[0.05971, 0.06359, 0.06216, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144, 0.02998, 0.02171, 0.02103]","[1, 1, 1, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0, 2, 3, 2]",27,25
2.5,81,"[0.00888, 0.00371, 0.00091, 0.00576, 0.00772, 0.0086, 0.00865, 0.00118, 0.00161, 0.00438, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659]","[0.02349, 0.02168, 0.07208, 0.02479, 0.03165, 0.03242, 0.03092, 0.062, 0.03884, 0.02263, 0.02507, 0.05109, 0.07497, 0.0605, 0.05431, 0.02919, 0.06678]","[1, 1, 0, 0, 1, 3, 2, 1, 0, 0, 0, 0, 1, 1, 3, 0, 1]",16,17
2.5,82,"[0.00629, 0.00214, 0.00833, 0.00696, 0.00157, 0.00085, 0.00095, 0.00212, 0.00924, 0.00482, 0.00195, 0.00256, 0.00166, 0.00452, 0.00927, 0.00189, 0.00224]","[0.05675, 0.03766, 0.05749, 0.07547, 0.06977, 0.02071, 0.03438, 0.04421, 0.14237, 0.06368, 0.03484, 0.02558, 0.02614, 0.15631, 0.06824, 0.09985, 0.04636, 0.03856, 0.02061]","[0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 3, 3, 5, 0, 0, 0, 0, 0]",17,19
2.5,83,"[0.00107, 0.0085, 0.00099, 0.00117, 0.00464, 0.00255, 0.00422, 0.00067, 0.00582, 0.00306, 0.00244, 0.00178, 0.00181, 0.0019, 0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.03029, 0.04767, 0.07236, 0.02092, 0.04912, 0.0363, 0.04913, 0.04701, 0.0463, 0.02254, 0.04691, 0.10565, 0.05771, 0.02265, 0.06211, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[1, 0, 2, 0, 0, 1, 0, 1, 2, 1, 0, 6, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",25,29
2.5,84,"[0.00443, 0.00704, 0.00051, 0.0046, 0.00115, 0.00064, 0.00837, 0.00844, 0.00129, 0.00053, 0.00172, 0.00839, 0.00085, 0.00441, 0.00085, 0.00221, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.03599, 0.04146, 0.09212, 0.02365, 0.02523, 0.03225, 0.02948, 0.02526, 0.04797, 0.04562, 0.1194, 0.07918, 0.06977, 0.02071, 0.03438, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[0, 1, 1, 1, 0, 1, 0, 4, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 2, 5, 0, 2]",29,22
2.5,85,"[0.0085, 0.00099, 0.00117, 0.00464, 0.00255, 0.00422, 0.00067, 0.00582, 0.00306, 0.00244, 0.00178, 0.00181, 0.0019, 0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.08354, 0.04767, 0.07236, 0.02092, 0.04912, 0.0363, 0.04913, 0.04701, 0.0463, 0.02254, 0.04691, 0.10565, 0.05771, 0.02265, 0.06211, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[0, 0, 2, 0, 0, 1, 0, 1, 2, 1, 0, 6, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",24,29
2.5,86,"[0.00461, 0.00077, 0.00686, 0.00047, 0.0062, 0.00145]","[0.05719, 0.04066, 0.0381, 0.02076, 0.05777, 0.04804, 0.02728, 0.03084]","[1, 0, 0, 0, 0, 0, 1, 4]",6,8
2.5,87,"[0.00643, 0.00063, 0.00124, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 5e-05, 0.00636, 0.0006, 0.00072]","[0.04646, 0.07144, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.20324, 0.06835, 0.03231, 0.04943, 0.02265, 0.02434, 0.06976, 0.06862, 0.05355, 0.04636, 0.0216, 0.02621]","[3, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1]",13,20
2.5,88,"[0.00026, 0.00817]","[0.0551, 0.06824, 0.09985, 0.04636, 0.03856, 0.02061]","[2, 0, 0, 0, 0, 0]",2,6
2.5,89,"[0.00051, 0.00443, 0.00287, 0.00279, 0.00085, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.04367, 0.02365, 0.06859, 0.03727, 0.02175, 0.03617, 0.09156, 0.02071, 0.06542, 0.07918, 0.04421, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 2, 1, 1, 2, 5, 0, 2]",18,18
2.5,90,"[0.0085, 0.00099, 0.00117, 0.00464, 0.00255, 0.00422, 0.00067, 0.00582, 0.00306, 0.00244, 0.00178, 0.00181, 0.0019, 0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.02392, 0.04767, 0.07236, 0.02092, 0.04912, 0.0363, 0.04913, 0.04701, 0.0463, 0.02254, 0.04691, 0.10565, 0.05771, 0.02265, 0.06211, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[0, 0, 2, 0, 0, 1, 0, 1, 2, 1, 0, 6, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",24,29
2.5,91,"[0.00077, 0.00317]","[0.08704, 0.10834]","[2, 0]",2,2
2.5,92,"[0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475, 0.00053, 0.0035, 0.00563, 0.00492, 0.00444]","[0.03854, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144, 0.02998, 0.02171, 0.02103]","[0, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0, 2, 3, 2]",19,16
2.5,93,"[0.00826, 0.00194, 0.00118, 0.00315, 0.00513, 0.00207, 0.00695, 0.00723, 0.00488, 0.00451]","[0.02812, 0.02791, 0.04517, 0.05226, 0.02222, 0.05621, 0.02933, 0.02203, 0.04061, 0.03475, 0.07336]","[0, 3, 0, 0, 0, 4, 3, 0, 0, 0, 0]",10,11
2.5,94,"[0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.04176, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749, 0.07547]","[0, 1, 2, 1, 1, 0, 0, 0, 2, 3]",10,10
2.5,95,"[0.0025, 0.00543, 0.00817, 0.00186, 0.00199, 0.00411, 0.00319, 0.00491, 0.00171, 0.00189, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.02136, 0.05034, 0.13996, 0.0471, 0.03128, 0.02309, 0.03188, 0.04033, 0.13066, 0.0605, 0.05431, 0.02919, 0.06678, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749, 0.07547]","[1, 1, 0, 0, 0, 1, 3, 4, 0, 1, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 3]",25,22
2.5,96,"[0.00047, 0.00717, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475, 0.00053, 0.0035, 0.00563, 0.00492, 0.00444]","[0.04666, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144, 0.02998, 0.02171, 0.02103]","[2, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0, 2, 3, 2]",26,20
2.5,97,"[0.00749, 0.00486, 0.00114, 0.00761, 0.00826]","[0.02253, 0.05916, 0.0211, 0.02115, 0.09212, 0.03489, 0.02501]","[0, 1, 0, 0, 1, 0, 2]",5,7
2.5,98,"[0.00244, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157, 0.00085, 0.00095, 0.00212, 0.00924, 0.00482, 0.00195, 0.00256, 0.00166, 0.00452, 0.00927, 0.00189, 0.00224]","[0.04034, 0.03766, 0.05749, 0.07547, 0.06977, 0.02071, 0.03438, 0.04421, 0.14237, 0.06368, 0.03484, 0.02558, 0.02614, 0.15631, 0.06824, 0.09985, 0.04636, 0.03856, 0.02061]","[1, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 3, 3, 5, 0, 0, 0, 0, 0]",18,19
2.5,99,"[0.00339, 0.00272, 0.00029, 0.00369, 0.00087, 0.00302, 0.00076, 0.00814, 0.00115, 0.00192, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475]","[0.04989, 0.06189, 0.06948, 0.02146, 0.03481, 0.04946, 0.02214, 0.02257, 0.0752, 0.0392, 0.10748, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144]","[1, 1, 0, 0, 0, 2, 1, 1, 0, 1, 3, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0]",29,30

