2.5,22,"[0.00223, 0.00308, 0.00204, 0.0008, 0.00982, 0.00227, 0.00417, 0.00123]","[0.02301, 0.03541, 0.04229, 0.05994, 0.06139, 0.03775, 0.07028, 0.04893, 0.06989, 0.06362, 0.04812, 0.04904]","[1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 2]",8,12
2.5,23,"[0.00417, 0.00123, 0.00982, 0.00227, 0.00332]","[0.03698, 0.04812, 0.04904, 0.0611]","[0, 0, 2, 0]",5,4
2.5,24,"[0.00105, 0.00315, 0.00078, 0.00117, 0.00126, 0.00226, 0.00661, 0.00576, 0.00959]","[0.04302, 0.027, 0.04015, 0.11683, 0.05727, 0.05596, 0.05362, 0.07538, 0.03093, 0.02425, 0.02288, 0.03025, 0.07589]","[0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 4]",9,13
2.5,25,"[0.00969, 0.00244, 0.0095]","[0.04352, 0.02257, 0.05071]","[1, 0, 2]",3,3
2.5,26,"[0.00261, 0.00371, 0.006, 0.00032, 0.00095, 0.00634, 0.00276, 0.00153, 0.00211, 0.00691, 0.00123, 0.00427, 0.00287, 0.00973]","[0.03123, 0.1024, 0.06105, 0.02717, 0.03153, 0.07287]","[2, 1, 4, 1, 2, 4]",14,6
2.5,27,"[0.00378, 0.00886, 0.00914, 0.00445, 0.00144]","[0.0725, 0.02349, 0.02098, 0.10256, 0.02417, 0.02031, 0.07229, 0.14472, 0.03692]","[0, 1, 0, 0, 0, 1, 1, 2, 0]",5,9
2.5,28,"[0.00649]","[0.06254, 0.04421, 0.05299, 0.03221, 0.12724]","[0, 0, 0, 1, 0]",1,5
2.5,29,"[0.00764, 0.00285]","[0.02272, 0.05009]","[2, 0]",2,2
2.5,30,"[0.00032, 0.00095, 0.00634, 0.00276, 0.00153, 0.00211, 0.00691, 0.00123, 0.00427, 0.00287, 0.00973]","[0.04483, 0.06105, 0.02717, 0.03153, 0.07287]","[0, 4, 1, 2, 4]",11,5
2.5,31,"[0.00754, 0.00107, 0.00835, 0.00638, 0.00195, 0.00616, 0.00602, 0.00581, 0.00732, 0.00178, 0.00686]","[0.07183, 0.04978, 0.05096, 0.02283, 0.13151, 0.03737, 0.03753]","[1, 3, 1, 2, 3, 1, 0]",11,7
2.5,32,"[0.00422, 0.00227, 0.00432, 0.00848, 0.00637]","[0.08752, 0.04998, 0.05755, 0.03366, 0.03761]","[0, 0, 1, 0, 2]",5,5
2.5,33,"[0.00956, 0.0029, 0.00291, 0.00611, 0.00125, 0.00316, 0.00481, 0.00051, 0.00125, 0.00106, 0.00442, 0.00426, 0.00696, 0.00649]","[0.06953, 0.03774, 0.05674, 0.02706, 0.05742, 0.07891, 0.04421, 0.05299, 0.03221, 0.12724]","[5, 2, 2, 0, 3, 1, 0, 0, 1, 0]",14,10
2.5,34,"[0.00316, 0.00481, 0.00051, 0.00125, 0.00106, 0.00442, 0.00426, 0.00696, 0.00649]","[0.05758, 0.03774, 0.05674, 0.02706, 0.05742, 0.07891, 0.04421, 0.05299, 0.03221, 0.12724]","[0, 2, 2, 0, 3, 1, 0, 0, 1, 0]",9,10
