2.5,29,"[0.0037, 0.00087, 0.00538, 0.00127, 0.00681, 0.00123, 0.00723, 0.00441, 0.00197, 0.00046]","[0.03338, 0.02333, 0.10906, 0.03256, 0.02216, 0.09252, 0.02955]","[0, 0, 3, 2, 2, 0, 2]",10,7
2.5,30,"[0.00998, 0.00747, 0.00944, 0.00386, 0.00745, 0.0067, 0.00815, 0.00261, 0.0011, 0.00896]","[0.05791, 0.02047, 0.03398, 0.05039, 0.0552]","[2, 2, 0, 1, 2]",10,5
2.5,31,"[0.00148, 0.00105, 0.00118]","[0.04264, 0.04022, 0.086, 0.02438, 0.02017]","[1, 1, 1, 0, 0]",3,5
2.5,32,"[0.00251, 0.00184]","[0.03023, 0.10451, 0.05454, 0.03964, 0.04028, 0.14515]","[1, 0, 0, 0, 1, 0]",2,6
2.5,33,"[0.00077, 0.00648, 0.00188, 0.00465, 0.00629, 0.00628, 0.00466, 0.00186, 0.00209, 0.00808, 0.00989, 0.002, 0.00222, 0.00441, 0.00197, 0.00127, 0.00681, 0.00123, 0.00723]","[0.05338, 0.10106, 0.02905, 0.0416, 0.02414, 0.02948, 0.09157, 0.07894, 0.03256, 0.02216, 0.0206]","[4, 1, 0, 1, 1, 6, 0, 2, 2, 2, 0]",19,11
2.5,34,"[0.00857]","[0.03498, 0.0211, 0.02975]","[0, 0, 0]",1,3
2.5,35,"[0.00708, 0.00114, 0.00622, 0.0004, 0.00321, 0.00384, 0.0014, 0.00098, 0.00126]","[0.03289, 0.03981, 0.02566, 0.05309, 0.03479]","[1, 2, 3, 1, 2]",9,5
2.5,36,"[0.00062, 0.00814, 0.00026, 0.00068, 0.0015]","[0.02696, 0.05035, 0.04243, 0.02685]","[0, 1, 1, 2]",5,4
2.5,37,"[0.00378, 0.0038, 0.00554, 0.0014, 0.00493, 0.00134, 0.00062, 0.00814, 0.00026, 0.00068, 0.0015]","[0.03032, 0.03016, 0.05937, 0.05035, 0.04243, 0.02685]","[1, 3, 2, 1, 1, 2]",11,6
2.5,38,"[0.00812]","[0.04425, 0.02096, 0.0343]","[1, 0, 0]",1,3
2.5,39,"[0.00712, 0.00732, 0.00115, 0.00222, 0.00895, 0.00965, 0.00107, 0.00214, 0.00267, 0.00502]","[0.03718, 0.03191, 0.02575, 0.06638, 0.03757, 0.02163]","[1, 0, 1, 1, 3, 4]",10,6
2.5,40,"[0.00939, 0.0038, 0.00588, 0.00258, 0.00381, 0.00064, 0.00968, 0.00726]","[0.07302, 0.03517, 0.03484, 0.05073, 0.02455, 0.09437, 0.02642, 0.02445, 0.02242, 0.02915, 0.04519]","[0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 2]",8,11
2.5,41,"[0.00044, 0.00118, 0.0077, 0.00656, 0.00077, 0.00264, 0.00392, 0.00629, 0.00628, 0.00466, 0.00186, 0.00209, 0.00808, 0.00989, 0.002, 0.00222, 0.00441, 0.00197, 0.00127, 0.00681, 0.00123, 0.00723]","[0.03121, 0.02152, 0.02212, 0.0931, 0.05263, 0.10106, 0.02905, 0.0416, 0.02414, 0.02948, 0.09157, 0.07894, 0.03256, 0.02216, 0.0206]","[0, 1, 0, 2, 4, 1, 0, 1, 1, 6, 0, 2, 2, 2, 0]",22,15
2.5,42,"[0.00296, 0.00082, 0.00759, 0.00486, 0.00857, 0.00725, 0.00127, 0.0092, 0.002]","[0.04696, 0.02532, 0.03411, 0.11709, 0.10816, 0.02438, 0.02017, 0.02221, 0.13062, 0.05728, 0.03458]","[1, 0, 0, 2, 0, 0, 0, 3, 0, 0, 3]",9,11
2.5,43,"[0.00939, 0.0038, 0.00588, 0.00258, 0.00381, 0.00064, 0.00968, 0.00726]","[0.07264, 0.03517, 0.03484, 0.05073, 0.02455, 0.09437, 0.02642, 0.02445, 0.02242, 0.02915, 0.04519]","[0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 2]",8,11
2.5,44,"[0.00057, 0.00353, 0.00244, 0.00083, 0.00628, 0.00137, 0.00441, 0.00197, 0.00127, 0.00681, 0.00123, 0.00723]","[0.03349, 0.02414, 0.02948, 0.02828, 0.02905, 0.12801, 0.07894, 0.03256, 0.02216, 0.0206]","[1, 0, 0, 0, 3, 2, 2, 2, 2, 0]",12,10
2.5,45,"[0.00715, 0.00403, 0.0004, 0.00321, 0.00384, 0.0014, 0.00098, 0.00126]","[0.03486, 0.02566, 0.05309, 0.03479]","[2, 3, 1, 2]",8,4
2.5,46,"[0.00081]","[0.0428, 0.04765]","[0, 1]",1,2
2.5,47,"[0.00398, 0.00184]","[0.09923, 0.05454, 0.03964, 0.04028, 0.14515]","[1, 0, 0, 1, 0]",2,5
2.5,48,"[0.00965, 0.0037, 0.00087, 0.00538, 0.00127, 0.00681, 0.00123, 0.00723, 0.00441, 0.00197, 0.00046]","[0.04999, 0.02333, 0.10906, 0.03256, 0.02216, 0.09252, 0.02955]","[1, 0, 3, 2, 2, 0, 2]",11,7
2.5,49,"[0.00044, 0.00118, 0.0077, 0.00656, 0.00077, 0.00264, 0.00392, 0.00629, 0.00628, 0.00466, 0.00186, 0.00209, 0.00808, 0.00989, 0.002, 0.00222, 0.00441, 0.00197, 0.00127, 0.00681, 0.00123, 0.00723]","[0.02524, 0.02152, 0.02212, 0.0931, 0.05263, 0.10106, 0.02905, 0.0416, 0.02414, 0.02948, 0.09157, 0.07894, 0.03256, 0.02216, 0.0206]","[0, 1, 0, 2, 4, 1, 0, 1, 1, 6, 0, 2, 2, 2, 0]",22,15

