2.5,29,"[0.00073, 0.00158, 0.0008, 0.00377, 0.00664, 0.00434]","[0.02298, 0.02037, 0.02412, 0.02674]","[0, 3, 1, 0]",6,4
2.5,30,"[0.00845, 0.00432, 0.00485, 0.00151, 0.00439, 0.00159, 0.00563, 0.00179, 0.00565, 0.00282, 0.00627, 0.00703, 0.00093, 0.00165, 0.00274]","[0.05465, 0.0264, 0.06034, 0.02765, 0.06042, 0.10135, 0.02281, 0.02556, 0.02927, 0.03783, 0.06149, 0.02894, 0.03275, 0.03517, 0.04242, 0.06791, 0.02506]","[1, 0, 2, 0, 1, 0, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1]",15,17
2.5,31,"[0.00273, 0.0008, 0.00439, 0.00159, 0.00563, 0.00179, 0.00565, 0.00282, 0.00627, 0.00703, 0.00093, 0.00165, 0.00274]","[0.08132, 0.02281, 0.02556, 0.02927, 0.03783, 0.06149, 0.02894, 0.03275, 0.03517, 0.04242, 0.06791, 0.02506]","[2, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1]",13,12
2.5,32,"[0.00208, 0.00664, 0.00513, 0.00017, 0.00345, 0.00088, 0.00927, 0.0075, 0.00208, 0.00208]","[0.12019, 0.04726, 0.02846, 0.0257, 0.02943, 0.02942, 0.05893, 0.07991, 0.05814, 0.04018, 0.08416]","[0, 0, 0, 0, 3, 4, 0, 0, 1, 2, 0]",10,11
2.5,33,"[0.00091, 0.00174, 0.00522, 0.00514, 0.00187, 0.00207]","[0.04256, 0.02006, 0.02247, 0.03421, 0.02295, 0.0243, 0.03273, 0.02864, 0.03046]","[0, 0, 1, 1, 0, 3, 0, 1, 0]",6,9
2.5,34,"[0.00286, 0.00206, 0.0036, 0.00091, 0.00174, 0.00522, 0.00514, 0.00187, 0.00207]","[0.05195, 0.03494, 0.07028, 0.02006, 0.02247, 0.03421, 0.02295, 0.0243, 0.03273, 0.02864, 0.03046]","[0, 1, 2, 0, 1, 1, 0, 3, 0, 1, 0]",9,11
2.5,35,"[0.00432, 0.00485, 0.00336, 0.00439, 0.00159, 0.00563, 0.00179, 0.00565, 0.00282, 0.00627, 0.00703]","[0.03162, 0.02765, 0.0357, 0.0264, 0.07567, 0.02549, 0.07254, 0.10135, 0.02281, 0.02556, 0.02927, 0.03783, 0.06149, 0.02894, 0.03275]","[0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 1, 1, 0, 1]",11,15
2.5,36,"[0.00904, 0.00035, 0.00508, 0.00327, 0.00319, 0.00952]","[0.06367, 0.08307, 0.0231, 0.06016]","[0, 1, 1, 4]",6,4
2.5,37,"[0.00137]","[0.05975, 0.08384, 0.04734, 0.02386, 0.11948]","[0, 1, 0, 0, 0]",1,5
2.5,38,"[0.00336, 0.00432, 0.00485, 0.00151, 0.00546]","[0.02661, 0.05273, 0.05816, 0.0264, 0.06034, 0.02765, 0.13317]","[0, 0, 1, 0, 2, 0, 2]",5,7
2.5,39,"[0.00407, 0.00067, 0.00279, 0.00543, 0.00155, 0.0008, 0.00259, 0.0045, 0.00955]","[0.03727, 0.1065, 0.04688, 0.08208, 0.11638, 0.02509, 0.02334, 0.03633, 0.06705]","[1, 0, 1, 0, 0, 1, 1, 3, 2]",9,9
2.5,40,"[0.00037, 0.00459]","[0.11763, 0.03314, 0.02193]","[1, 1, 0]",2,3
