2.5,28,"[0.00113, 0.00118]","[0.04301, 0.02771, 0.02006, 0.03555, 0.04107]","[0, 0, 0, 1, 1]",2,5
2.5,29,"[0.00587, 0.00652, 0.00055, 0.00995, 0.00503]","[0.02854, 0.06822, 0.14108, 0.04945, 0.11093]","[2, 1, 0, 0, 2]",5,5
2.5,30,"[0.00551, 0.0052, 0.00412, 0.00426, 0.00107, 0.00268, 0.00368]","[0.11056, 0.02142, 0.14369, 0.03684, 0.03733, 0.04602, 0.09453, 0.02542, 0.0412, 0.06275]","[0, 0, 3, 1, 0, 2, 1, 0, 0, 0]",7,10
2.5,31,"[0.00057, 0.00082, 0.00144, 0.00269, 0.00711]","[0.06411, 0.11015, 0.05987, 0.06048]","[2, 1, 0, 2]",5,4
2.5,32,"[0.00183, 0.00052, 0.00122, 0.00972, 0.00344, 0.00741, 0.00625]","[0.03036, 0.02508, 0.10627, 0.03274, 0.08304, 0.02741, 0.06778, 0.04752]","[1, 2, 0, 0, 0, 0, 3, 1]",7,8
2.5,33,"[0.0069, 0.00113, 0.00092]","[0.03906, 0.04783, 0.02941, 0.05616]","[0, 1, 1, 1]",3,4
2.5,34,"[0.0044, 0.00409]","[0.02, 0.05531]","[2, 0]",2,2
2.5,35,"[0.00633, 0.00029, 0.00164, 0.00097, 0.0032, 0.00537, 0.00543, 0.00277]","[0.0255, 0.04013, 0.08962, 0.05036, 0.03013, 0.02808]","[1, 4, 1, 1, 0, 1]",8,6
2.5,36,"[0.00012, 0.00712, 0.00093, 0.00117, 0.00605, 0.0072, 0.00329, 0.00531, 0.00087, 0.00084, 0.00987, 0.00075]","[0.03222, 0.0873, 0.04582, 0.06032, 0.02361, 0.03115, 0.09854]","[1, 4, 1, 3, 1, 1, 1]",12,7
2.5,37,"[0.00868, 0.00071, 0.00084, 0.00329, 0.00531, 0.0072]","[0.05532, 0.06032, 0.04582, 0.12658]","[2, 1, 2, 1]",6,4
2.5,38,"[0.00101, 0.00313, 0.00314, 0.0039, 0.00077, 0.00721, 0.00391, 0.00939]","[0.0401, 0.04899, 0.12566, 0.06967, 0.03463, 0.21134]","[1, 1, 1, 3, 1, 1]",8,6
2.5,39,"[]","[0.03555, 0.0427]","[0, 0]",0,2
2.5,40,"[0.00123, 0.00159, 0.00344, 0.00073, 0.00157, 0.00156, 0.0027, 0.00061, 0.0084, 0.00977, 0.00167, 0.00753]","[0.04482, 0.02344, 0.12428, 0.07036, 0.03862, 0.02547, 0.19994, 0.02123, 0.02475]","[0, 0, 2, 1, 2, 0, 2, 0, 5]",12,9
2.5,41,"[0.00269]","[0.05297, 0.05987, 0.03261]","[0, 1, 0]",1,3
2.5,42,"[0.00884, 0.00626, 0.00951, 0.00632, 0.00029, 0.00164, 0.00097, 0.0032, 0.00092, 0.00387, 0.00537, 0.00543, 0.00277]","[0.10412, 0.03123, 0.02907, 0.08962, 0.05036, 0.03013, 0.02808]","[4, 4, 2, 1, 1, 0, 1]",13,7
2.5,43,"[0.00689, 0.00335, 0.00163, 0.00533, 0.00208, 0.00643, 0.00257, 0.00344, 0.00223, 0.00643, 0.00287, 0.00469, 0.00159, 0.00164]","[0.03371, 0.10948, 0.03188, 0.02227, 0.03111]","[1, 5, 1, 0, 2]",14,5
2.5,44,"[0.00979, 0.00972, 0.00344, 0.00741, 0.00625]","[0.04511, 0.09164, 0.03274, 0.08304, 0.02741, 0.06778, 0.04752]","[1, 0, 0, 0, 0, 3, 1]",5,7
2.5,45,"[0.00254, 0.00765]","[0.03463, 0.02508]","[0, 0]",2,2
2.5,46,"[]","[0.0491, 0.02998, 0.02932, 0.04488]","[0, 0, 0, 0]",0,4
2.5,47,"[0.00391, 0.0039, 0.00077, 0.00721, 0.00939, 0.00313, 0.00314]","[0.03072, 0.06967, 0.04035, 0.0836, 0.04899, 0.06789]","[0, 1, 3, 1, 1, 1]",7,6
2.5,48,"[0.00395, 0.001, 0.00115, 0.00058, 0.00144, 0.00269, 0.00711]","[0.05418, 0.06965, 0.11015, 0.05987, 0.06048]","[0, 4, 1, 0, 2]",7,5
2.5,49,"[0.00114, 0.00426, 0.00551, 0.0052, 0.00412, 0.00125, 0.00857, 0.00082, 0.00292, 0.00921, 0.00368]","[0.05215, 0.06648, 0.03684, 0.10683, 0.02142, 0.07234, 0.07375, 0.07939, 0.06275]","[1, 0, 1, 0, 0, 3, 5, 1, 0]",11,9

